Country,Province/State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
United States,CO,Loveland,Metrolux 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,CT,Milford,Cinemark Connecticut Post 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.10 m,18.20 m,Yes
United States,DC,Washington,AMC Georgetown 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,7.00 m,13.70 m,Yes
United States,DC,Washington,"Lockheed Martin IMAX, National Air & Space Museum",1.43:1,IMAX GT Laser,1.43:1,No,14.00 m,23.00 m,Yes
United States,FL,Altamonte Springs,AMC Altamonte Mall 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.70 m,15.80 m,Yes
United States,FL,Aventura,AMC Aventura 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.30 m,16.90 m,Yes
United States,FL,Delray Beach,Paragon Theaters Delray + IMAX,1.90:1,IMAX CoLa,1.90:1,No,16.80 m,25.90 m,Yes
United States,FL,Fort Myers,Regal Gulf Coast & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.70 m,16.30 m,Yes
United States,FL,Miami,CMX Dolphin 19 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.20 m,16.20 m,Yes
United States,FL,Miami,Regal Kendall Village & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,16.30 m,Yes
United States,FL,Naples,Regal Naples & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,FL,Pembroke Pines,AMC Pembroke Lakes 9 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.30 m,18.40 m,Yes
United States,FL,Tampa,AMC Veterans 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.80 m,16.60 m,Yes
