Country,Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
China,Heilongjiang,Daqing,"IMAX, Da Qing Science & Technology Museum",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,18m,
China,Heilongjiang,Harbin,"IMAX, Heilongjiang Science & Technology Center",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,,
China,Jiangsu,Nanjing,"IMAX, Nanjing Juvenile Science & Technology Center",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,21m,
China,Shanghai,Pudong,"IMAX Dome, Shanghai Science & Technology Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,"23.0 m
75.5 ft",
China,Shanghai,Pudong,"IMAX 3D, Shanghai Science & Technology Museum",1.43:1,,,IMAX GT3D 15/70 mm,"24.3 m × 18.3 m
79.7 ft × 60.0 ft 445 m
4,790 sq ft",
Hong Kong,Kowloon,Yau Tsim Mong,"OMNIMAX, Hong Kong Space Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,23.00m,
India,Gujarat,Ahmedabad,"IMAX 3D, Gujarat Science City",1.43:1,,,IMAX GT3D 15/70 mm,29.00m×20.04m,No
Indonesia,DKI Jakarta,East Jakarta,Keong Emas IMAX,1.43:1,,,IMAX GT3D 15/70 mm,29.30m×21.50m,No
Japan,Kyushu,Kagoshima,"Space Theatre, Municipal Science Hall",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,20.50m,
Saudi Arabia,Eastern Province,Al Khobar,"Science Dome, Sultan Bin Abdulaziz Science & Technology Center",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,20.00m,No
